Date,Segment,Region,Category,Ship Mode,State,Sales,Profit,Discount,Product Quality Score,Service Speed Score,Pricing Score,Customer Service Score,Department,Customer Satisfaction,Inventory Turnover
2022-11-16,Home Office,East,Technology,Second Class,New York,971.38,212.88,16.68,3.645421536796867,2.035230420028731,1.616015560207679,2.479376898405702,Garden,1.96,1.32
2022-07-14,Corporate,East,Furniture,Second Class,Washington,1062.91,176.97,69.54,4.441683333170358,1.77874903609663,3.0214631390657294,3.422588766480408,Grocery,3.58,4.86
2022-09-22,Consumer,East,Office Supplies,First Class,California,697.29,115.49,202.39,4.477475707766159,1.911589115118682,2.273365726260672,3.696250068565243,Garden,2.52,3.73
2021-07-12,Corporate,West,Office Supplies,Second Class,Texas,901.57,100.61,139.15,1.629583396491015,1.9070995247187197,2.1540922419606736,4.888919342824814,Clothing,3.29,9.19
2022-12-09,Corporate,Central,Furniture,Same Day,California,1021.31,241.34,32.88,2.869330609676914,2.722186726183778,1.6785303931298663,4.706064253988246,Grocery,1.9,8.99
2021-12-26,Home Office,Central,Office Supplies,Second Class,New York,1024.86,157.24,101.84,4.578254628104531,2.5228595186716736,3.1911675469489347,3.447486885702798,Electronics,3.71,6.25
2021-01-10,Corporate,South,Furniture,First Class,New York,617.35,79.23,6.49,3.9197048012461315,2.3481870505795994,4.378158764007097,1.1849551179964437,Pharmacy,4.61,7.27
2022-12-25,Consumer,East,Furniture,Same Day,Texas,1081.91,171.3,192.61,4.46554551392132,4.524950285953648,2.987683646318769,3.1812304815708043,Grocery,2.34,6.09
2021-10-05,Consumer,South,Office Supplies,Same Day,Florida,1069.8,84.57,320.78,2.5475720493069782,1.8109496583006592,2.439593527168394,2.614560885091104,Electronics,1.25,2.69
2022-08-23,Corporate,West,Technology,Standard Class,California,905.74,93.31,164.06,2.996050657375244,1.654614688774931,4.708443348807727,3.179114901727662,Grocery,4.76,7.69
2021-03-12,Home Office,Central,Office Supplies,Same Day,New York,1001.04,111.45,187.12,4.580456211538269,1.3040115785464281,1.535398033702759,1.1607054930396679,Grocery,3.2,3.08
2022-04-18,Corporate,Central,Office Supplies,Second Class,Florida,629.13,96.28,66.08,2.7160548433821856,4.6994406219036335,2.9212766729401585,4.983048829708709,Garden,4.33,3.97
2022-08-24,Consumer,East,Office Supplies,Standard Class,Florida,630.05,119.14,49.61,3.680670815612266,1.7773852181659562,4.045644492664357,1.2278334816784033,Pharmacy,4.78,8.51
2022-02-01,Consumer,Central,Office Supplies,First Class,California,1033.67,111.06,162.66,2.6983630880337213,3.2890719402121635,4.591693175433653,2.0907197373331723,Clothing,4.5,3.97
2021-11-11,Corporate,West,Technology,Standard Class,New York,833.07,64.27,225.71,3.8320259212211054,2.4948712773468533,4.711121562639754,1.28849611575199,Garden,3.08,0.96
2022-12-07,Consumer,West,Technology,First Class,Florida,997.11,161.38,12.79,3.4528992629614415,3.2211990029360607,1.4480186635366339,3.1904444240170826,Electronics,4.91,0.73
2022-05-02,Corporate,East,Technology,First Class,New York,1209.87,267.3,211.97,2.766413972749737,3.5702653548815166,3.1621795459716515,2.4072731862166252,Electronics,2.75,7.45
2022-07-06,Consumer,South,Furniture,Standard Class,Florida,956.52,127.84,128.43,3.1960879921195886,4.360308119107393,1.8461021837832452,2.501199371410865,Clothing,2.0,0.93
2021-03-29,Home Office,East,Technology,Same Day,California,297.33,43.16,56.53,3.3925955749508927,3.029052131822293,1.7086745615529093,4.156670083431756,Clothing,4.47,9.96
2021-06-24,Consumer,West,Furniture,Second Class,California,962.34,103.78,244.04,4.516232810419167,2.3089628461575433,4.462391012805597,4.616080462277274,Pharmacy,4.53,9.93
